conversion_action.name,conversion_action.resource_name,conversion_action.status,conversion_action.type
Formulario Clientes potenciales,customers/4760314854/conversionActions/7139718407,3,8
GHL - Lead Compra Terreno,customers/4760314854/conversionActions/7147711811,2,7
GHL - Agendamiento de Visita a terreno,customers/4760314854/conversionActions/7147714499,2,7
GHL Lead Precalificado,customers/4760314854/conversionActions/7147716425,2,7
GHL - Lead Asiste a Visita,customers/4760314854/conversionActions/7147937505,2,7
GHL - Lead Calificado (Coopeuch),customers/4760314854/conversionActions/7147944391,2,7
GHL - Envío de Encuesta,customers/4760314854/conversionActions/7152963484,2,7
Agricola Cachapoal (web) purchase,customers/4760314854/conversionActions/7157792391,4,41
GHL - Reserva,customers/4760314854/conversionActions/7184880191,2,7
GHL - Promesa,customers/4760314854/conversionActions/7184893190,2,7
GHL - Encuesta Enviada (Browser),customers/4760314854/conversionActions/7185233676,3,7
GHL - Envío de Formulario (Browser),customers/4760314854/conversionActions/7185245442,2,8
YouTube channel subscriptions,customers/4760314854/conversionActions/7261199929,2,1
YouTube follow-on views,customers/4760314854/conversionActions/7261243172,2,1
GHL - Form Start,customers/4760314854/conversionActions/7267746413,2,8
