shared_criterion.keyword.match_type,shared_criterion.keyword.text,shared_criterion.resource_name,shared_set.name,shared_set.resource_name
2,terrenos la serena,customers/4760314854/sharedCriteria/11672642343~338718722588,Exclusión ngrams (Exactos),customers/4760314854/sharedSets/11672642343
2,parcelas en la serena,customers/4760314854/sharedCriteria/11672642343~401780840397,Exclusión ngrams (Exactos),customers/4760314854/sharedSets/11672642343
4,vistamar,customers/4760314854/sharedCriteria/11601276514~34635243,Lista KW Competencia,customers/4760314854/sharedSets/11601276514
4,vista bella,customers/4760314854/sharedCriteria/11601276514~458563071,Lista KW Competencia,customers/4760314854/sharedSets/11601276514
4,bicentenario,customers/4760314854/sharedCriteria/11601276514~795069364,Lista KW Competencia,customers/4760314854/sharedSets/11601276514
4,yapo,customers/4760314854/sharedCriteria/11601276514~4385911787,Lista KW Competencia,customers/4760314854/sharedSets/11601276514
4,hinojal,customers/4760314854/sharedCriteria/11601276514~318775310088,Lista KW Competencia,customers/4760314854/sharedSets/11601276514
4,altos de teatinos,customers/4760314854/sharedCriteria/11601276514~352924528310,Lista KW Competencia,customers/4760314854/sharedSets/11601276514
4,rio hurtado,customers/4760314854/sharedCriteria/11601276514~355837372049,Lista KW Competencia,customers/4760314854/sharedSets/11601276514
4,fundo loreto,customers/4760314854/sharedCriteria/11601276514~391375798979,Lista KW Competencia,customers/4760314854/sharedSets/11601276514
4,altovalsol,customers/4760314854/sharedCriteria/11601276514~448220242923,Lista KW Competencia,customers/4760314854/sharedSets/11601276514
4,quitallaco,customers/4760314854/sharedCriteria/11601276514~2430957975544,Lista KW Competencia,customers/4760314854/sharedSets/11601276514
4,majada blanca,customers/4760314854/sharedCriteria/11601276514~2431156584372,Lista KW Competencia,customers/4760314854/sharedSets/11601276514
4,rinconada del sauce,customers/4760314854/sharedCriteria/11601276514~2455896303004,Lista KW Competencia,customers/4760314854/sharedSets/11601276514
4,casino,customers/4760314854/sharedCriteria/11594315772~10000020,Listado No Relevantes,customers/4760314854/sharedSets/11594315772
4,free,customers/4760314854/sharedCriteria/11594315772~10001471,Listado No Relevantes,customers/4760314854/sharedSets/11594315772
4,hotel,customers/4760314854/sharedCriteria/11594315772~10002811,Listado No Relevantes,customers/4760314854/sharedSets/11594315772
4,job,customers/4760314854/sharedCriteria/11594315772~10005011,Listado No Relevantes,customers/4760314854/sharedSets/11594315772
4,gratis,customers/4760314854/sharedCriteria/11594315772~10007781,Listado No Relevantes,customers/4760314854/sharedSets/11594315772
4,regalo,customers/4760314854/sharedCriteria/11594315772~10016226,Listado No Relevantes,customers/4760314854/sharedSets/11594315772
4,restaurant,customers/4760314854/sharedCriteria/11594315772~10024300,Listado No Relevantes,customers/4760314854/sharedSets/11594315772
4,ceres,customers/4760314854/sharedCriteria/11594315772~10037576,Listado No Relevantes,customers/4760314854/sharedSets/11594315772
4,fotos,customers/4760314854/sharedCriteria/11594315772~10059330,Listado No Relevantes,customers/4760314854/sharedSets/11594315772
4,camping,customers/4760314854/sharedCriteria/11594315772~10060561,Listado No Relevantes,customers/4760314854/sharedSets/11594315772
4,san antonio,customers/4760314854/sharedCriteria/11594315772~10066731,Listado No Relevantes,customers/4760314854/sharedSets/11594315772
